accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.608148148148148,72450,False,10,10,0.0001,300,15
0.621111111111111,72450,False,50,10,0.0001,100,5
0.617037037037037,72450,False,50,10,0.0001,100,15
0.608518518518519,72450,False,50,10,0.0001,300,5
0.598888888888889,72450,False,50,10,0.0001,300,15
0.632962962962963,72450,False,100,10,0.0001,100,5
0.632592592592593,72450,False,100,10,0.0001,100,15
0.603333333333333,72450,False,100,10,0.0001,300,5
0.59,72450,False,100,10,0.0001,300,15
0.597777777777778,72450,False,10,10,1E-05,100,5
0.59962962962963,72450,False,10,10,1E-05,100,15
0.609259259259259,72450,False,10,10,1E-05,300,5
0.612222222222222,72450,False,10,10,1E-05,300,15
0.60037037037037,72450,False,50,10,1E-05,100,5
0.59,72450,False,50,10,1E-05,100,15
0.603703703703704,72450,False,50,10,1E-05,300,5
0.602592592592593,72450,False,50,10,1E-05,300,15
0.617777777777778,72450,False,100,10,1E-05,100,5
0.61037037037037,72450,False,100,10,1E-05,100,15
0.601481481481482,72450,False,100,10,1E-05,300,5
0.607407407407407,72450,False,100,10,1E-05,300,15
0.632592592592593,72450,False,10,10,1E-06,100,5
0.638148148148148,72450,False,10,10,1E-06,100,15
0.635185185185185,72450,False,10,10,1E-06,300,5
0.641111111111111,72450,False,10,10,1E-06,300,15
0.66,72450,False,50,10,1E-06,100,5
0.66,72450,False,50,10,1E-06,100,15
0.650740740740741,72450,False,50,10,1E-06,300,5
0.657777777777778,72450,False,50,10,1E-06,300,15
0.669259259259259,72450,False,100,10,1E-06,100,5
0.665185185185185,72450,False,100,10,1E-06,100,15
0.657777777777778,72450,False,100,10,1E-06,300,5
0.671111111111111,72450,False,100,10,1E-06,300,15
0.678888888888889,82963,True,10,10,0.0001,100,5
0.684444444444444,82963,True,10,10,0.0001,100,15
0.680740740740741,82963,True,10,10,0.0001,300,5
0.681111111111111,82963,True,10,10,0.0001,300,15
0.68962962962963,82963,True,50,10,0.0001,100,5
0.687037037037037,82963,True,50,10,0.0001,100,15
0.687777777777778,82963,True,50,10,0.0001,300,5
0.689259259259259,82963,True,50,10,0.0001,300,15
0.68,82963,True,100,10,0.0001,100,5
0.68037037037037,82963,True,100,10,0.0001,100,15
0.684074074074074,82963,True,100,10,0.0001,300,5
0.680740740740741,82963,True,100,10,0.0001,300,15
0.68962962962963,82963,True,10,10,1E-05,100,5
0.680740740740741,82963,True,10,10,1E-05,100,15
0.681111111111111,82963,True,10,10,1E-05,300,5
0.678148148148148,82963,True,10,10,1E-05,300,15
0.684814814814815,82963,True,50,10,1E-05,100,5
0.67962962962963,82963,True,50,10,1E-05,100,15
0.682962962962963,82963,True,50,10,1E-05,300,5
0.676296296296296,82963,True,50,10,1E-05,300,15
0.695555555555556,82963,True,100,10,1E-05,100,5
0.67037037037037,82963,True,100,10,1E-05,100,15
0.68962962962963,82963,True,100,10,1E-05,300,5
0.671851851851852,82963,True,100,10,1E-05,300,15
0.657037037037037,82963,True,10,10,1E-06,100,5
0.636296296296296,82963,True,10,10,1E-06,100,15
0.664444444444444,82963,True,10,10,1E-06,300,5
0.625555555555555,82963,True,10,10,1E-06,300,15
0.662962962962963,82963,True,50,10,1E-06,100,5
0.632962962962963,82963,True,50,10,1E-06,100,15
0.667407407407407,82963,True,50,10,1E-06,300,5
0.632222222222222,82963,True,50,10,1E-06,300,15
0.657407407407407,82963,True,100,10,1E-06,100,5
0.62,82963,True,100,10,1E-06,100,15
0.645925925925926,82963,True,100,10,1E-06,300,5
0.612222222222222,82963,True,100,10,1E-06,300,15
0.618518518518518,82963,False,10,10,0.0001,100,5
0.603703703703704,82963,False,10,10,0.0001,100,15
0.592222222222222,82963,False,10,10,0.0001,300,5
0.602222222222222,82963,False,10,10,0.0001,300,15
0.647037037037037,82963,False,50,10,0.0001,100,5
0.637037037037037,82963,False,50,10,0.0001,100,15
0.597777777777778,82963,False,50,10,0.0001,300,5
0.603333333333333,82963,False,50,10,0.0001,300,15
0.637407407407407,82963,False,100,10,0.0001,100,5
0.624814814814815,82963,False,100,10,0.0001,100,15
0.612222222222222,82963,False,100,10,0.0001,300,5
0.601111111111111,82963,False,100,10,0.0001,300,15
0.602592592592593,82963,False,10,10,1E-05,100,5
0.611851851851852,82963,False,10,10,1E-05,100,15
0.619259259259259,82963,False,10,10,1E-05,300,5
0.613333333333333,82963,False,10,10,1E-05,300,15
0.61962962962963,82963,False,50,10,1E-05,100,5
0.596296296296296,82963,False,50,10,1E-05,100,15
0.607407407407407,82963,False,50,10,1E-05,300,5
0.602962962962963,82963,False,50,10,1E-05,300,15
0.602962962962963,82963,False,100,10,1E-05,100,5
0.597407407407407,82963,False,100,10,1E-05,100,15
0.614444444444444,82963,False,100,10,1E-05,300,5
0.597037037037037,82963,False,100,10,1E-05,300,15
0.635185185185185,82963,False,10,10,1E-06,100,5
0.639259259259259,82963,False,10,10,1E-06,100,15
0.632962962962963,82963,False,10,10,1E-06,300,5
0.640740740740741,82963,False,10,10,1E-06,300,15
